service_code,zone_id,zone_label,country_codes,postal_codes,cities,zone_min_weight,zone_max_weight,rate,cost,zone_transit_days
royal_mail_international_tracked_small_parcel,europe_zone_1,Germany,DE,,,500,750.001,9.95,9.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Germany,DE,,,750,1000.001,9.95,9.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Germany,DE,,,1000,1250.001,9.95,9.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Germany,DE,,,1250,1500.001,9.95,9.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Germany,DE,,,1500,2000.001,9.95,9.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,0,250.001,8.80,8.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,250,500.001,8.80,8.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,500,750.001,8.80,8.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,750,1000.001,8.80,8.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,1000,1250.001,10.30,10.30,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,1250,1500.001,10.30,10.30,
royal_mail_international_tracked_small_parcel,europe_zone_1,Ireland,IE,,,1500,2000.001,10.30,10.30,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,0,250.001,8.95,8.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,250,500.001,10.05,10.05,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,500,750.001,10.70,10.70,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,750,1000.001,10.95,10.95,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,1000,1250.001,11.80,11.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,1250,1500.001,11.80,11.80,
royal_mail_international_tracked_small_parcel,europe_zone_1,Rest of Europe Zone 1,DK:MC,,,1500,2000.001,12.00,12.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,0,250.001,9.65,9.65,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,250,500.001,10.60,10.60,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,500,750.001,11.15,11.15,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,750,1000.001,11.90,11.90,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,1000,1250.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,1250,1500.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Belgium,BE,,,1500,2000.001,13.00,13.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,0,250.001,9.65,9.65,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,250,500.001,10.60,10.60,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,500,750.001,11.15,11.15,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,750,1000.001,11.90,11.90,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,1000,1250.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,1250,1500.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Italy,IT,,,1500,2000.001,13.00,13.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,0,250.001,9.20,9.20,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,250,500.001,10.10,10.10,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,500,750.001,10.65,10.65,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,750,1000.001,10.85,10.85,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,1000,1250.001,11.25,11.25,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,1250,1500.001,11.25,11.25,
royal_mail_international_tracked_small_parcel,europe_zone_2,Netherlands,NL,,,1500,2000.001,11.90,11.90,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,0,250.001,9.85,9.85,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,250,500.001,10.70,10.70,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,500,750.001,11.30,11.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,750,1000.001,12.00,12.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,1000,1250.001,12.45,12.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,1250,1500.001,12.45,12.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Poland,PL,,,1500,2000.001,13.15,13.15,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,0,250.001,14.15,14.15,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,250,500.001,15.00,15.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,500,750.001,15.60,15.60,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,750,1000.001,16.30,16.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,1000,1250.001,16.75,16.75,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,1250,1500.001,16.75,16.75,
royal_mail_international_tracked_small_parcel,europe_zone_2,Romania,RO,,,1500,2000.001,17.45,17.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,0,250.001,9.60,9.60,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,250,500.001,10.20,10.20,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,500,750.001,10.75,10.75,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,750,1000.001,11.40,11.40,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,1000,1250.001,11.85,11.85,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,1250,1500.001,11.85,11.85,
royal_mail_international_tracked_small_parcel,europe_zone_2,Spain,ES,,,1500,2000.001,12.50,12.50,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,0,250.001,9.65,9.65,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,250,500.001,10.60,10.60,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,500,750.001,11.15,11.15,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,750,1000.001,11.90,11.90,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,1000,1250.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,1250,1500.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,europe_zone_2,Sweden,SE,,,1500,2000.001,13.00,13.00,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,0,250.001,9.85,9.85,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,250,500.001,10.70,10.70,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,500,750.001,11.45,11.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,750,1000.001,12.10,12.10,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,1000,1250.001,12.45,12.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,1250,1500.001,12.45,12.45,
royal_mail_international_tracked_small_parcel,europe_zone_2,Rest of Europe Zone 2,AT:LV:PT:LT:LU:BG:MT:HR:CY:CZ:SK:EE:SI:FI:GR:HU,,,1500,2000.001,13.15,13.15,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,0,250.001,10.90,10.90,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,250,500.001,12.50,12.50,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,500,750.001,13.05,13.05,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,750,1000.001,14.05,14.05,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,1000,1250.001,15.00,15.00,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,1250,1500.001,15.60,15.60,
royal_mail_international_tracked_small_parcel,europe_zone_3,Norway,NO:SJ,,,1500,2000.001,16.05,16.05,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,0,250.001,11.95,11.95,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,250,500.001,11.95,11.95,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,500,750.001,12.25,12.25,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,750,1000.001,13.20,13.20,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,1000,1250.001,13.75,13.75,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,1250,1500.001,14.30,14.30,
royal_mail_international_tracked_small_parcel,europe_zone_3,Switzerland,CH,,,1500,2000.001,14.55,14.55,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,0,250.001,11.65,11.65,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,250,500.001,13.90,13.90,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,500,750.001,14.50,14.50,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,750,1000.001,15.65,15.65,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,1000,1250.001,16.75,16.75,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,1250,1500.001,17.45,17.45,
royal_mail_international_tracked_small_parcel,europe_zone_3,Turkey,TR,,,1500,2000.001,17.95,17.95,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,0,250.001,12.15,12.15,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,250,500.001,14.40,14.40,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,500,750.001,15.00,15.00,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,750,1000.001,16.15,16.15,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,1000,1250.001,17.25,17.25,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,1250,1500.001,17.95,17.95,
royal_mail_international_tracked_small_parcel,europe_zone_3,Rest of Europe Zone 3,AL:MD:AD:ME:AM:MK:AZ:BY:RU:BA:SM:FO:RS:GE:GI:TJ:GL:IS:TM:KZ:UA:XK:UZ:KG:VA:LI,,,1500,2000.001,18.45,18.45,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,0,250.001,12.17,12.17,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,250,500.001,14.25,14.25,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,500,750.001,17.53,17.53,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,750,1000.001,17.53,17.53,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,1000,1250.001,20.20,20.20,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,1250,1500.001,20.20,20.20,
royal_mail_international_tracked_small_parcel,world_zone_3,USA,US,,,1500,2000.001,20.20,20.20,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,0,250.001,12.30,12.30,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,250,500.001,15.60,15.60,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,500,750.001,19.20,19.20,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,750,1000.001,22.30,22.30,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,1000,1250.001,25.15,25.15,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,1250,1500.001,26.15,26.15,
royal_mail_international_tracked_small_parcel,world_zone_1,Brazil,BR,,,1500,2000.001,28.05,28.05,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,0,250.001,14.44,14.44,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,250,500.001,14.44,14.44,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,500,750.001,17.01,17.01,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,750,1000.001,20.27,20.27,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,1000,1250.001,22.95,22.95,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,1250,1500.001,24.52,24.52,
royal_mail_international_tracked_small_parcel,world_zone_1,Canada,CA,,,1500,2000.001,24.52,24.52,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,0,250.001,11.40,11.40,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,250,500.001,13.15,13.15,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,500,750.001,13.15,13.15,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,750,1000.001,13.15,13.15,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,1000,1250.001,17.75,17.75,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,1250,1500.001,17.75,17.75,
royal_mail_international_tracked_small_parcel,world_zone_1,China,CN,,,1500,2000.001,17.75,17.75,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,0,250.001,11.55,11.55,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,250,500.001,14.35,14.35,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,500,750.001,17.15,17.15,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,750,1000.001,19.90,19.90,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,1000,1250.001,22.40,22.40,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,1250,1500.001,25.40,25.40,
royal_mail_international_tracked_small_parcel,world_zone_1,Hong Kong,HK,,,1500,2000.001,27.25,27.25,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,0,250.001,12.50,12.50,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,250,500.001,15.80,15.80,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,500,750.001,18.50,18.50,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,750,1000.001,21.45,21.45,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,1000,1250.001,24.15,24.15,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,1250,1500.001,25.10,25.10,
royal_mail_international_tracked_small_parcel,world_zone_1,India,IN,,,1500,2000.001,26.90,26.90,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,0,250.001,12.45,12.45,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,250,500.001,15.70,15.70,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,500,750.001,18.50,18.50,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,750,1000.001,21.45,21.45,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,1000,1250.001,24.15,24.15,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,1250,1500.001,27.10,27.10,
royal_mail_international_tracked_small_parcel,world_zone_1,Japan,JP,,,1500,2000.001,29.10,29.10,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,0,250.001,12.95,12.95,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,250,500.001,15.70,15.70,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,500,750.001,18.25,18.25,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,750,1000.001,20.10,20.10,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,1000,1250.001,22.45,22.45,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,1250,1500.001,24.80,24.80,
royal_mail_international_tracked_small_parcel,world_zone_1,Thailand,TH,,,1500,2000.001,26.60,26.60,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,0,250.001,14.40,14.40,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,250,500.001,18.15,18.15,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,500,750.001,21.25,21.25,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,750,1000.001,24.65,24.65,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,1000,1250.001,27.75,27.75,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,1250,1500.001,28.85,28.85,
royal_mail_international_tracked_small_parcel,world_zone_1,Rest of World Zone 1,,,,1500,2000.001,29.90,29.90,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,0,250.001,12.35,12.35,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,250,500.001,15.85,15.85,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,500,750.001,18.40,18.40,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,750,1000.001,19.40,19.40,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,1000,1250.001,25.10,25.10,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,1250,1500.001,25.10,25.10,
royal_mail_international_tracked_small_parcel,world_zone_2,Australia,AU,,,1500,2000.001,25.10,25.10,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,0,250.001,15.30,15.30,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,250,500.001,16.30,16.30,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,500,750.001,20.25,20.25,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,750,1000.001,20.25,20.25,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,1000,1250.001,27.20,27.20,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,1250,1500.001,30.05,30.05,
royal_mail_international_tracked_small_parcel,world_zone_2,New Zealand,NZ,,,1500,2000.001,32.05,32.05,
royal_mail_international_tracked_small_parcel,world_zone_2,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,,,0,250.001,14.90,14.90,
royal_mail_international_tracked_small_parcel,world_zone_2,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,,,250,500.001,19.15,19.15,
royal_mail_international_tracked_small_parcel,world_zone_2,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,,,500,750.001,23.75,23.75,
royal_mail_international_tracked_small_parcel,world_zone_2,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,,,750,1000.001,27.90,27.90,
royal_mail_international_tracked_small_parcel,world_zone_2,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,,,1000,1250.001,31.85,31.85,
