Service,Destination,0-1kg,1-2kg,2-3kg,3-4kg,4-5kg,5-6kg,6-7kg,7-8kg,8-9kg,9-10kg,10-11kg,11-12kg,12-13kg,13-14kg,14-15kg,15-16kg,16-17kg,17-18kg,18-19kg,19-20kg,20-21kg,21-22kg,22-23kg,23-24kg,24-25kg,25-26kg,26-27kg,27-28kg,28-29kg,29-30kg,Surcharge per Additional kg after 30KG
GPA,China,£13.17,£18.60,£24.04,£29.57,£35.05,£40.46,£45.83,£51.27,£56.64,£62.02,£67.43,£72.83,£78.24,£82.85,£87.05,£89.95,£92.95,£95.85,£98.75,£101.70,£105.15,£108.60,£112.05,£115.55,£118.95,£122.40,£125.85,£129.30,£132.75,£136.20,£5.39
GPA,Christmas Island,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Cocos (Keeling) Islands,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Colombia,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Comoros,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Congo (Dem Rep Zaire),£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Costa Rica,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Cuba,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Cuba-Guantanamo Bay (Via USA),£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Cyprus,£18.10,£22.97,£27.84,£32.82,£37.74,£42.59,£47.41,£52.28,£57.10,£61.92,£66.76,£71.61,£76.46,£81.28,£85.70,£87.70,£89.70,£91.75,£93.75,£95.80,£97.80,£99.80,£101.85,£103.85,£105.85,£107.90,£109.90,£111.90,£113.95,£115.95,£4.84
GPA,Djibouti,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Dominica,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Dominican Republic,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Ecuador,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Egypt,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,El Salvador,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Equatorial Guinea,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Eritrea,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Ethiopia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Falkland Islands,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Faroe Islands,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Fiji,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,French Guiana,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,French Polynesia,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Gabon,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Gambia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Gaza & Khan Yunis,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Georgia,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Ghana,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Gibraltar,£19.36,£26.33,£33.29,£40.36,£47.38,£54.32,£61.23,£68.20,£75.11,£82.03,£85.45,£87.10,£88.70,£90.72,£96.62,£102.54,£108.45,£114.36,£120.26,£126.17,£132.09,£138.01,£143.93,£149.83,£155.73,£161.63,£167.55,£173.45,£179.36,£185.28,£9.46
GPA,Grenada,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Guadeloupe,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Guam,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Guatemala,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Guinea,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Guyana,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Haiti,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Honduras,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Hong Kong,£22.17,£26.49,£30.80,£35.22,£39.58,£43.87,£48.13,£52.45,£56.71,£60.97,£65.26,£69.55,£73.83,£78.10,£82.36,£86.65,£90.93,£95.19,£99.46,£103.74,£108.03,£112.32,£116.61,£120.87,£125.13,£129.39,£133.68,£137.94,£142.23,£146.52,£4.28
GPA,Iceland,£40.45,£43.25,£48.20,£55.10,£60.54,£65.50,£70.43,£75.15,£79.50,£83.90,£85.45,£87.10,£88.70,£90.35,£91.95,£93.55,£95.15,£96.75,£98.35,£100.00,£101.60,£103.20,£104.80,£106.35,£107.95,£109.55,£111.15,£112.75,£114.35,£115.95,£4.95
GPA,India,£19.14,£23.72,£28.29,£32.97,£37.60,£42.15,£46.67,£51.25,£54.35,£56.40,£58.05,£59.75,£61.40,£63.10,£64.80,£66.45,£68.15,£69.85,£71.50,£73.26,£76.46,£79.66,£82.87,£86.05,£89.24,£92.43,£95.63,£98.82,£102.02,£105.23,£5.12
GPA,Indonesia,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
