Service,Destination,0-1kg,1-2kg,2-3kg,3-4kg,4-5kg,5-6kg,6-7kg,7-8kg,8-9kg,9-10kg,10-11kg,11-12kg,12-13kg,13-14kg,14-15kg,15-16kg,16-17kg,17-18kg,18-19kg,19-20kg,20-21kg,21-22kg,22-23kg,23-24kg,24-25kg,25-26kg,26-27kg,27-28kg,28-29kg,29-30kg,Surcharge per Additional kg after 30KG
GPA,Madagascar,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Malawi,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Malaysia,£28.80,£30.20,£33.95,£37.65,£42.60,£47.10,£51.55,£56.05,£60.50,£65.00,£69.10,£73.25,£77.35,£81.50,£85.60,£89.85,£94.10,£98.35,£102.60,£106.85,£111.10,£115.35,£119.65,£123.90,£128.15,£132.40,£136.65,£140.90,£145.15,£149.40,£8.92
GPA,Maldives,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Mali,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Marshall Islands,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Martinique,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Mauritania,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Mauritius,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Mexico,£34.21,£40.09,£45.96,£51.93,£57.86,£63.71,£69.53,£75.40,£81.22,£87.04,£92.88,£98.73,£104.58,£110.40,£116.22,£122.06,£127.91,£133.73,£139.55,£145.40,£151.24,£157.09,£162.93,£168.75,£174.57,£180.39,£186.24,£192.06,£197.91,£203.75,£5.84
GPA,Micronesia,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Moldova,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Mongolia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Montenegro,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Montserrat,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Morocco,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Mozambique,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Myanmar (Burma),£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Namibia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Nauru,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Nepal,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Netherlands Antilles,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,New Caledonia,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,New Zealand,£30.22,£41.96,£53.70,£65.54,£77.33,£89.04,£99.55,£107.30,£115.00,£122.75,£128.65,£134.45,£140.35,£146.15,£152.05,£157.70,£163.40,£169.10,£174.75,£180.45,£186.10,£191.80,£197.50,£203.15,£208.80,£214.55,£220.20,£225.85,£231.55,£237.25,£11.70
GPA,New Zealand Island Territories,£30.22,£41.96,£53.70,£65.54,£77.33,£89.04,£99.55,£107.30,£115.00,£122.75,£128.65,£134.45,£140.35,£146.15,£152.05,£157.70,£163.40,£169.10,£174.75,£180.45,£186.10,£191.80,£197.50,£203.15,£208.80,£214.55,£220.20,£225.85,£231.55,£237.25,£11.70
GPA,Nicaragua,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Niger Republic,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Nigeria,£24.74,£30.07,£35.40,£40.83,£46.21,£51.51,£56.79,£62.12,£67.39,£72.67,£77.97,£83.28,£88.58,£93.86,£99.13,£104.43,£109.74,£115.01,£120.29,£125.59,£130.90,£136.20,£141.50,£146.78,£152.06,£157.33,£162.63,£167.91,£173.21,£178.52,£5.29
GPA,Northern Mariana Islands,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Oman,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Pakistan,£22.46,£26.49,£30.51,£34.64,£38.72,£42.72,£46.69,£50.72,£54.69,£58.66,£62.66,£66.66,£70.66,£74.63,£78.60,£82.60,£86.60,£90.57,£94.55,£98.55,£102.54,£106.54,£110.54,£114.51,£118.49,£122.46,£126.46,£130.43,£134.43,£138.43,£3.99
GPA,Panama,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Papua New Guinea,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Paraguay,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Peru,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Philippines,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Pitcairn Islands,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Puerto Rico,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Qatar,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Reunion,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Russia,£25.00,£33.50,£42.00,£50.61,£59.16,£66.40,£70.75,£75.15,£79.50,£83.90,£85.45,£87.10,£88.70,£90.35,£93.16,£98.68,£104.19,£109.69,£115.19,£120.71,£126.22,£131.74,£137.25,£142.75,£148.25,£153.75,£159.26,£164.76,£170.28,£175.80,£8.81
GPA,Rwanda,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,St Helena,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,St Kitts & St Nevis,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,St Lucia,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,St Vincent & Grenadines,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Samoa,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Sao Tome & Principe,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Saudi Arabia,£31.40,£36.61,£41.81,£47.12,£52.38,£57.56,£62.72,£67.93,£73.08,£78.23,£83.42,£88.60,£93.78,£98.93,£104.09,£109.27,£114.45,£119.60,£124.76,£129.94,£135.12,£140.30,£145.48,£150.64,£155.79,£160.95,£166.13,£171.28,£176.47,£181.65,£5.17
GPA,Senegal,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Serbia,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Seychelles,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Sierra Leone,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Singapore,£21.42,£26.34,£31.26,£36.28,£41.25,£46.14,£51.00,£55.92,£60.50,£65.00,£69.10,£73.25,£77.35,£81.50,£85.60,£89.85,£94.10,£98.35,£102.60,£106.85,£111.10,£115.35,£119.65,£123.90,£128.15,£132.40,£136.65,£140.90,£145.15,£149.40,£4.88
GPA,Solomon Islands,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,South Africa,£27.85,£37.25,£46.66,£56.17,£65.63,£75.01,£82.80,£87.55,£93.40,£97.90,£101.45,£105.00,£108.55,£112.10,£115.65,£119.25,£122.75,£126.30,£129.90,£133.40,£136.95,£142.40,£148.34,£154.27,£160.20,£166.13,£172.08,£178.01,£183.95,£189.90,£9.50
GPA,South Korea,£33.90,£42.40,£47.60,£52.85,£58.10,£64.05,£70.10,£76.05,£82.10,£88.10,£94.20,£100.20,£106.30,£112.40,£118.50,£124.55,£130.65,£137.09,£143.84,£150.60,£157.37,£164.13,£170.90,£177.65,£184.39,£191.14,£197.91,£204.66,£211.42,£218.19,£10.81
GPA,Spanish Territories Of North Africa,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Sri Lanka,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Sudan,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Suriname,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Eswatini,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Syria,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Taiwan,£22.98,£27.51,£32.05,£36.69,£41.28,£45.79,£50.27,£54.81,£59.29,£63.78,£68.29,£72.80,£77.31,£81.79,£86.27,£90.78,£95.29,£99.78,£104.26,£108.77,£113.28,£117.79,£122.30,£126.79,£131.27,£135.76,£140.27,£144.75,£149.26,£153.77,£4.50
GPA,Tajikistan,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Tanzania,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Thailand,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,East Timor,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Togo,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Tonga,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Trinidad & Tobago,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Tristan Da Cunha,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Tunisia,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,Turkey,£24.70,£27.09,£29.48,£31.97,£34.41,£36.77,£39.11,£41.49,£43.83,£46.17,£48.53,£50.89,£53.25,£55.59,£57.92,£60.28,£62.65,£64.98,£67.32,£69.68,£72.04,£74.40,£76.76,£79.10,£81.43,£83.77,£86.13,£88.47,£90.83,£93.19,£2.35
GPA,Turkmenistan,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Turks & Caicos Islands,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,Tuvalu,£23.77,£29.64,£35.51,£41.49,£47.41,£53.26,£59.08,£64.95,£70.77,£76.59,£82.43,£88.28,£94.12,£99.94,£105.76,£111.61,£117.45,£123.27,£129.09,£134.93,£140.78,£146.62,£152.47,£158.29,£164.11,£169.93,£175.77,£181.59,£187.44,£193.28,£16.53
GPA,Ukraine,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
GPA,Uganda,£26.19,£33.28,£40.37,£47.57,£54.71,£61.78,£68.81,£75.90,£82.94,£89.98,£97.05,£104.11,£111.18,£118.21,£125.25,£132.32,£139.38,£146.42,£153.46,£160.52,£167.59,£174.65,£181.72,£188.76,£195.79,£202.83,£209.90,£216.94,£224.00,£231.07,£10.00
GPA,United Arab Emirates,£27.11,£32.95,£38.80,£44.75,£50.64,£56.46,£62.25,£68.10,£73.89,£79.68,£85.50,£91.32,£97.14,£102.93,£108.72,£114.54,£120.36,£126.15,£131.94,£137.76,£143.58,£149.40,£155.22,£161.01,£166.80,£172.60,£178.41,£184.21,£190.02,£195.84,£8.90
GPA,Uruguay,£31.42,£41.07,£50.71,£60.46,£70.15,£79.77,£89.36,£99.01,£108.60,£118.19,£127.81,£137.43,£147.04,£156.63,£166.23,£175.84,£185.46,£195.05,£204.65,£214.26,£223.88,£233.50,£243.12,£252.71,£262.30,£271.89,£281.51,£291.10,£300.72,£310.34,£11.63
GPA,USA (PDDP),£27.61,£33.91,£40.20,£46.60,£52.95,£59.21,£65.46,£71.75,£77.99,£84.24,£90.50,£96.77,£103.04,£109.28,£115.53,£121.79,£128.06,£134.31,£140.55,£146.82,£152.45,£156.55,£160.60,£164.70,£168.80,£172.85,£177.00,£181.05,£185.15,£189.20,-
GPA,Uzbekistan,£30.08,£37.66,£45.23,£52.91,£60.54,£68.09,£75.62,£83.19,£90.72,£98.24,£105.79,£113.34,£120.89,£128.42,£135.94,£143.49,£151.05,£158.57,£166.09,£173.65,£181.20,£188.75,£196.30,£203.82,£211.35,£218.87,£226.42,£233.95,£241.50,£249.05,£4.43
