service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,zone_min_weight,zone_max_weight,max_length,max_width,max_height,rate,cost,zone_id,postal_codes,cities,active,currency,weight_unit,dimension_unit,transit_days,domicile,international,included_compensation,package_format_identifier,notes,meta_source_url,meta_effective_date,veryfy price,fuel_energy_surcharge_percentage,green_surcharge_amount,peak_surcharge_amount,peak_surcharge_start_date,peak_surcharge_end_date,signature_surcharge_amount,age_verification_surcharge_amount,id_verification_surcharge_amount,signature_surcharge_letter_amount,signature_surcharge_large_letter_amount,signature_surcharge_parcel_amount
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 1,,0.001,2000,500,750.001,600,600,600,21.25,21.25,world_zone_1,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 1,,0.001,2000,750,1000.001,600,600,600,24.65,24.65,world_zone_1,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 1,,0.001,2000,1000,1250.001,600,600,600,27.75,27.75,world_zone_1,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 1,,0.001,2000,1250,1500.001,600,600,600,28.85,28.85,world_zone_1,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 1,,0.001,2000,1500,2000.001,600,600,600,29.90,29.90,world_zone_1,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,0,250.001,600,600,600,12.35,12.35,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,250,500.001,600,600,600,15.85,15.85,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,500,750.001,600,600,600,18.40,18.40,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,750,1000.001,600,600,600,19.40,19.40,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,1000,1250.001,600,600,600,25.10,25.10,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,1250,1500.001,600,600,600,25.10,25.10,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Australia,AU,0.001,2000,1500,2000.001,600,600,600,25.10,25.10,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,0,250.001,600,600,600,15.30,15.30,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,250,500.001,600,600,600,16.30,16.30,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,500,750.001,600,600,600,20.25,20.25,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,750,1000.001,600,600,600,20.25,20.25,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,1000,1250.001,600,600,600,27.20,27.20,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,1250,1500.001,600,600,600,30.05,30.05,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,New Zealand,NZ,0.001,2000,1500,2000.001,600,600,600,32.05,32.05,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,0,250.001,600,600,600,14.90,14.90,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,250,500.001,600,600,600,19.15,19.15,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,500,750.001,600,600,600,23.75,23.75,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,750,1000.001,600,600,600,27.90,27.90,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,1000,1250.001,600,600,600,31.85,31.85,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,1250,1500.001,600,600,600,34.90,34.90,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_small_parcel,International Tracked Small Parcel,OTA,01,tracked:b2c:b2b,Rest of World Zone 2,PW:IO:CX:CC:CK:FJ:PF:TF:KI:MO:NR:NC:AQ:NU:NF:BV:PG:LA:PN:SG:SB:TK:TO:TV:AS:WS,0.001,2000,1500,2000.001,600,600,600,37.55,37.55,world_zone_2,,,True,GBP,G,MM,7,False,True,50,smallParcel,Royal Mail public online Click & Drop rate; no discounts on account/contract terms,https://www.royalmail.com/sending/international/international-tracked,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,0,1000.001,610,460,460,11.75,11.75,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,1000,2000.001,610,460,460,11.75,11.75,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,2000,3000.001,610,460,460,13.20,13.20,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,3000,4000.001,610,460,460,13.20,13.20,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,4000,5000.001,610,460,460,13.20,13.20,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,5000,7500.001,610,460,460,15.80,15.80,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,7500,10000.001,610,460,460,15.80,15.80,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,10000,15000.001,610,460,460,20.35,20.35,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,France,FR,0.001,20000,15000,20000.001,610,460,460,20.35,20.35,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,0,1000.001,610,460,460,11.70,11.70,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,1000,2000.001,610,460,460,11.70,11.70,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,2000,3000.001,610,460,460,12.60,12.60,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,3000,4000.001,610,460,460,13.70,13.70,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,4000,5000.001,610,460,460,14.35,14.35,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,5000,7500.001,610,460,460,15.75,15.75,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,7500,10000.001,610,460,460,19.35,19.35,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,10000,15000.001,610,460,460,29.80,29.80,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Germany,DE,0.001,20000,15000,20000.001,610,460,460,37.45,37.45,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,0,1000.001,610,460,460,11.10,11.10,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,1000,2000.001,610,460,460,11.10,11.10,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,2000,3000.001,610,460,460,11.30,11.30,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,3000,4000.001,610,460,460,12.10,12.10,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,4000,5000.001,610,460,460,13.40,13.40,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,5000,7500.001,610,460,460,15.40,15.40,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,7500,10000.001,610,460,460,16.70,16.70,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,10000,15000.001,610,460,460,18.85,18.85,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Ireland,IE,0.001,20000,15000,20000.001,610,460,460,19.95,19.95,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Rest of Europe Zone 1,DK:MC,0.001,20000,0,1000.001,610,460,460,14.30,14.30,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_medium_parcel,International Tracked Heavier Medium Parcel,OTA,01,tracked:b2c:b2b,Rest of Europe Zone 1,DK:MC,0.001,20000,1000,2000.001,610,460,460,15.20,15.20,europe_zone_1,,,True,GBP,G,MM,7,False,True,50,mediumParcel,Royal Mail public online price for International Tracked Heavier medium parcels.  We have no contract rate also OTA is my placeholder certain zones need a specific code setting,https://www.royalmail.com/sending/international/international-tracked-signed-heavier,2026-04-07,verified public online price 2026-05-15,12,,0.12,2026-11-17,2027-01-09,,,,,,
