service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,currency,weight_unit,dimension_unit,transit_days,domicile,international
international_business_parcel_tracked,International Business Parcel Tracked (01 / X1006082),MP1,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_tracked_extra_compensation,International Business Parcel Tracked Extra Compensation (01 / X1006082),MP4,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_signed,International Business Parcel Signed (01 / X1006082),MP5,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_signed_extra_compensation,International Business Parcel Signed Extra Compensation (01 / X1006082),MP6,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_tracked_country_priced,International Business Parcel Tracked Country Priced (01 / X1006082),MP7,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_signed_country_priced,International Business Parcel Signed Country Priced (01 / X1006082),MP9,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mpl,International Business Mail Tracked High Volume (01 / X1006082),MPL,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mpm,International Business Mail Tracked & Signed High Volume (01 / X1006082),MPM,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mpn,International Business Mail Signed Country Priced (01 / X1006082),MPN,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mpo,International Business Mail Tracked High Volume Extra Compensation (01 / X1006082),MPO,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mpp,International Business Mail Tracked & Signed High Volume Extra Compensation (01 / X1006082),MPP,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_tracked_ddp,International Business Parcel Tracked DDP (01 / X1006082),MPR,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mta,International Business Parcel Tracked & Signed (01 / Q1006082),MTA,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mtb,International Business Parcel Tracked & Signed Extra Compensation (01 / X1006082),MTB,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked_and_signed,International Business Mail Tracked & Signed (01 / Q1006082),MTC,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked_and_signed_extra_compensation,International Business Mail Tracked & Signed Extra Compensation (01 / X1006082),MTD,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
mte,International Business Parcel Tracked & Signed Country (01 / X1006082),MTE,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked_and_signed_country,International Business Mail Tracked & Signed Country (01 / X1006082),MTG,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked,International Business Mail Tracked (01 / X1006082),MTI,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked_extra_compensation,International Business Mail Tracked Extra Compensation (01 / X1006082),MTJ,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_tracked_country_priced,International Business Mail Tracked Country Priced (01 / X1006082),MTK,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_signed,International Business Mail Signed (01 / Q1006082),MTM,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_signed_extra_compensation,International Business Mail Signed Extra Compensation (01 / X1006082),MTN,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_signed_country_priced,International Business Mail Signed Country Priced (01 / X1006082),MTO,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_mail_signed_extra_compensation_country,International Business Mail Signed Extra Compensation Country (01 / X1006082),MTP,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
express_24,express24 (01 / 915178NA),NDA,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
ndb,express24 Comp 1 (01 / 915178NB),NDB,01,tracked:b2c:b2b:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
ndc,express24 Comp 2 (01 / 915178NC),NDC,01,tracked:b2c:b2b:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
nde,express24 Comp 3 (01 / 915178NE),NDE,01,tracked:b2c:b2b:Insurance,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
international_standard,International Standard On Account (01 / D1006082),OLA,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_economy,International Economy On Account (01 / D1006082),OLS,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_signed,International Signed On Account (01),OSA,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_signed_extra_compensation,International Signed On Account Extra Compensation (01),OSB,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked,International Tracked On Account (01),OTA,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
